Date,Cases (Total Δ=Daily Change),Deaths (Total Δ=Daily Change)
12/05/2020,439538: Δ=8825,7886: Δ=44
12/04/2020,430713: Δ=8713,7842: Δ=60
12/03/2020,422000: Δ=7696,7782: Δ=42
12/02/2020,414304: Δ=5789,7740: Δ=40
12/01/2020,408515: Δ=7481,7700: Δ=45
11/30/2020,401034: Δ=5077,7655: Δ=16
11/29/2020,395957: Δ=4953,7639: Δ=16
11/28/2020,391004: Δ=3211,7623: Δ=19
11/27/2020,387793: Δ=4420,7604: Δ=24
11/26/2020,383373: Δ=4952,7580: Δ=37
11/25/2020,378421: Δ=4190,7543: Δ=46
11/24/2020,374231: Δ=3502,7497: Δ=51
11/23/2020,370729: Δ=6116,7446: Δ=8
11/22/2020,364613: Δ=2651,7438: Δ=9
11/21/2020,361962: Δ=4421,7429: Δ=33
11/20/2020,357541: Δ=4225,7396: Δ=33
11/19/2020,353316: Δ=4896,7363: Δ=28
11/18/2020,348420: Δ=3813,7335: Δ=36
11/17/2020,344607: Δ=2182,7299: Δ=24
11/16/2020,342425: Δ=2785,7275: Δ=6
11/15/2020,339640: Δ=3010,7269: Δ=3
11/14/2020,336630: Δ=3685,7266: Δ=20
11/13/2020,332945: Δ=2417,7246: Δ=25
11/12/2020,330528: Δ=2486,7221: Δ=5
11/11/2020,328042: Δ=2091,7216: Δ=16
11/10/2020,325951: Δ=2252,7200: Δ=23
11/09/2020,323699: Δ=1418,7177: Δ=5
11/08/2020,322281: Δ=2233,7172: Δ=2
11/07/2020,320048: Δ=2321,7170: Δ=13
11/06/2020,317727: Δ=2093,7157: Δ=17
11/05/2020,315634: Δ=2108,7140: Δ=23
11/04/2020,313526: Δ=1781,7117: Δ=20
11/03/2020,311745: Δ=1150,7097: Δ=21
11/02/2020,310595: Δ=1405,7076: Δ=2
11/01/2020,309190: Δ=1572,7074: Δ=3
10/31/2020,307618: Δ=1291,7071: Δ=15
10/30/2020,306327: Δ=1257,7056: Δ=12
10/29/2020,305070: Δ=1701,7044: Δ=4
10/28/2020,303369: Δ=1292,7040: Δ=13
10/27/2020,302077: Δ=1463,7027: Δ=27
10/26/2020,300614: Δ=854,7000: Δ=7
10/25/2020,299760: Δ=823,6993: Δ=4
10/24/2020,298937: Δ=2116,6989: Δ=15
10/23/2020,296821: Δ=2756,6974: Δ=18
10/22/2020,294065: Δ=3579,6956: Δ=12
10/21/2020,290486: Δ=477,6944: Δ=32
10/20/2020,290009: Δ=643,6912: Δ=35
10/19/2020,289366: Δ=915,6877: Δ=1
10/18/2020,288451: Δ=315,6876: Δ=13
10/17/2020,288136: Δ=914,6863: Δ=8
10/16/2020,287222: Δ=1039,6855: Δ=21
10/15/2020,286183: Δ=1167,6834: Δ=22
10/14/2020,285016: Δ=1266,6812: Δ=22
10/13/2020,283750: Δ=768,6790: Δ=17
10/12/2020,282982: Δ=847,6773: Δ=2
10/11/2020,282135: Δ=970,6771: Δ=3
10/10/2020,281165: Δ=1256,6768: Δ=27
10/09/2020,279909: Δ=1244,6741: Δ=15
10/08/2020,278665: Δ=1220,6726: Δ=17
10/07/2020,277445: Δ=1589,6709: Δ=28
10/06/2020,275856: Δ=914,6681: Δ=27
10/05/2020,274942: Δ=377,6654: Δ=7
10/04/2020,274565: Δ=927,6647: Δ=5
10/03/2020,273638: Δ=985,6642: Δ=16
10/02/2020,272653: Δ=1282,6626: Δ=16
10/01/2020,271371: Δ=1072,6610: Δ=34
09/30/2020,270299: Δ=1015,6576: Δ=25
09/29/2020,269284: Δ=829,6551: Δ=36
09/28/2020,268455: Δ=654,6515: Δ=1
09/27/2020,267801: Δ=813,6514: Δ=10
09/26/2020,266988: Δ=1213,6504: Δ=16
09/25/2020,265775: Δ=1361,6488: Δ=33
09/24/2020,264414: Δ=1081,6455: Δ=32
09/23/2020,263333: Δ=1200,6423: Δ=22
09/22/2020,262133: Δ=687,6401: Δ=35
09/21/2020,261446: Δ=649,6366: Δ=13
09/20/2020,260797: Δ=980,6353: Δ=23
09/19/2020,259817: Δ=1301,6330: Δ=0
09/18/2020,258516: Δ=1245,6330: Δ=6
09/17/2020,257271: Δ=1123,6324: Δ=21
09/16/2020,256148: Δ=1099,6303: Δ=30
09/15/2020,255049: Δ=393,6273: Δ=42
09/14/2020,254656: Δ=671,6231: Δ=23
09/13/2020,253985: Δ=809,6208: Δ=11
09/12/2020,253176: Δ=1110,6197: Δ=26
09/11/2020,252066: Δ=1042,6171: Δ=43
09/10/2020,251024: Δ=1165,6128: Δ=38
09/09/2020,249859: Δ=618,6090: Δ=54
09/08/2020,249241: Δ=420,6036: Δ=6
09/07/2020,248821: Δ=487,6030: Δ=25
09/06/2020,248334: Δ=792,6005: Δ=5
09/05/2020,247542: Δ=1135,6000: Δ=23
09/04/2020,246407: Δ=1408,5977: Δ=45
09/03/2020,244999: Δ=1064,5932: Δ=54
09/02/2020,243935: Δ=1414,5878: Δ=49
09/01/2020,242521: Δ=753,5829: Δ=45
08/31/2020,241768: Δ=1019,5784: Δ=15
08/30/2020,240749: Δ=993,5769: Δ=10
08/29/2020,239756: Δ=1298,5759: Δ=27
08/28/2020,238458: Δ=1472,5732: Δ=31
08/27/2020,236986: Δ=1600,5701: Δ=38
08/26/2020,235386: Δ=1609,5663: Δ=58
08/25/2020,233777: Δ=884,5605: Δ=47
08/24/2020,232893: Δ=1198,5558: Δ=13
08/23/2020,231695: Δ=1033,5545: Δ=8
08/22/2020,230662: Δ=1608,5537: Δ=46
08/21/2020,229054: Δ=1708,5491: Δ=45
08/20/2020,227346: Δ=1519,5446: Δ=54
08/19/2020,225827: Δ=1796,5392: Δ=57
08/18/2020,224031: Δ=900,5335: Δ=62
08/17/2020,223131: Δ=1181,5273: Δ=19
08/16/2020,221950: Δ=1188,5254: Δ=9
08/15/2020,220762: Δ=2069,5245: Δ=31
08/14/2020,218693: Δ=2554,5214: Δ=43
08/13/2020,216139: Δ=1942,5171: Δ=62
08/12/2020,214197: Δ=2389,5109: Δ=52
08/11/2020,211808: Δ=1384,5057: Δ=61
08/10/2020,210424: Δ=1896,4996: Δ=19
08/09/2020,208528: Δ=1767,4977: Δ=10
08/08/2020,206761: Δ=2594,4967: Δ=49
08/07/2020,204167: Δ=3061,4918: Δ=49
08/06/2020,201106: Δ=3194,4869: Δ=44
08/05/2020,197912: Δ=2298,4825: Δ=67
08/04/2020,195614: Δ=1826,4758: Δ=57
08/03/2020,193788: Δ=1621,4701: Δ=9
08/02/2020,192167: Δ=1474,4692: Δ=23
08/01/2020,190693: Δ=2212,4669: Δ=48
07/31/2020,188481: Δ=2609,4621: Δ=69
07/30/2020,185872: Δ=2489,4552: Δ=36
07/29/2020,183383: Δ=4741,4516: Δ=90
07/28/2020,178642: Δ=2614,4426: Δ=51
07/27/2020,176028: Δ=2033,4375: Δ=15
07/26/2020,173995: Δ=1670,4360: Δ=9
07/25/2020,172325: Δ=3568,4351: Δ=51
07/24/2020,168757: Δ=1909,4300: Δ=38
07/23/2020,166848: Δ=1978,4262: Δ=49
07/22/2020,164870: Δ=3197,4213: Δ=59
07/21/2020,161673: Δ=2628,4154: Δ=50
07/20/2020,159045: Δ=3158,4104: Δ=9
07/19/2020,155887: Δ=2846,4095: Δ=11
07/18/2020,153041: Δ=2722,4084: Δ=37
07/17/2020,150319: Δ=2851,4047: Δ=59
07/16/2020,147468: Δ=4459,3988: Δ=52
07/15/2020,143009: Δ=2702,3936: Δ=42
07/14/2020,140307: Δ=4178,3894: Δ=72
07/13/2020,136129: Δ=2580,3822: Δ=13
07/12/2020,133549: Δ=3307,3809: Δ=16
07/11/2020,130242: Δ=2884,3793: Δ=55
07/10/2020,127358: Δ=2620,3738: Δ=49
07/09/2020,124738: Δ=1734,3689: Δ=47
07/08/2020,123004: Δ=2465,3642: Δ=63
07/07/2020,120539: Δ=3969,3579: Δ=45
07/06/2020,116570: Δ=1577,3534: Δ=47
07/05/2020,114993: Δ=1496,3487: Δ=33
07/04/2020,113497: Δ=3187,3454: Δ=0
07/03/2020,110310: Δ=2643,3454: Δ=0
07/02/2020,107667: Δ=2160,3454: Δ=52
07/01/2020,105507: Δ=1978,3402: Δ=33
06/30/2020,103529: Δ=2757,3369: Δ=43
06/29/2020,100772: Δ=2878,3326: Δ=21
06/28/2020,97894: Δ=2523,3305: Δ=20
06/27/2020,95371: Δ=2139,3285: Δ=18
06/26/2020,93232: Δ=1765,3267: Δ=21
06/25/2020,91467: Δ=1977,3246: Δ=41
06/24/2020,89490: Δ=1228,3205: Δ=34
06/23/2020,88262: Δ=2320,3171: Δ=34
06/22/2020,85942: Δ=2545,3137: Δ=17
06/21/2020,83397: Δ=1761,3120: Δ=10
06/20/2020,81636: Δ=2027,3110: Δ=47
06/19/2020,79609: Δ=1382,3063: Δ=36
06/18/2020,78227: Δ=1038,3027: Δ=36
06/17/2020,77189: Δ=2105,2991: Δ=32
06/16/2020,75084: Δ=1293,2959: Δ=33
06/15/2020,73791: Δ=773,2926: Δ=19
06/14/2020,73018: Δ=995,2907: Δ=17
06/13/2020,72023: Δ=1547,2890: Δ=58
06/12/2020,70476: Δ=1601,2832: Δ=19
06/11/2020,68875: Δ=1811,2813: Δ=45
06/10/2020,67064: Δ=1242,2768: Δ=61
06/09/2020,65822: Δ=1178,2707: Δ=52
06/08/2020,64644: Δ=800,2655: Δ=10
06/07/2020,63844: Δ=1506,2645: Δ=25
06/06/2020,62338: Δ=1293,2620: Δ=55
06/05/2020,61045: Δ=1395,2565: Δ=34
06/04/2020,59650: Δ=1416,2531: Δ=42
06/03/2020,58234: Δ=1116,2489: Δ=46
06/02/2020,57118: Δ=1150,2443: Δ=59
06/01/2020,55968: Δ=972,2384: Δ=22
05/31/2020,54996: Δ=1345,2362: Δ=24
05/30/2020,53651: Δ=2089,2338: Δ=48
05/29/2020,51562: Δ=1788,2290: Δ=49
05/28/2020,49774: Δ=1074,2241: Δ=46
05/27/2020,48700: Δ=878,2195: Δ=52
05/26/2020,47822: Δ=1804,2143: Δ=27
05/25/2020,46018: Δ=1030,2116: Δ=12
05/24/2020,44988: Δ=933,2104: Δ=14
05/23/2020,44055: Δ=1003,2090: Δ=41
05/22/2020,43052: Δ=1015,2049: Δ=33
05/21/2020,42037: Δ=1180,2016: Δ=46
05/20/2020,40857: Δ=1284,1970: Δ=57
05/19/2020,39573: Δ=1122,1913: Δ=74
05/18/2020,38451: Δ=477,1839: Δ=18
05/17/2020,37974: Δ=671,1821: Δ=28
05/16/2020,37303: Δ=1044,1793: Δ=38
05/15/2020,36259: Δ=930,1755: Δ=96
05/14/2020,35329: Δ=901,1659: Δ=0
05/13/2020,34428: Δ=1248,1659: Δ=46
05/12/2020,33180: Δ=922,1613: Δ=44
05/11/2020,32258: Δ=581,1569: Δ=39
05/10/2020,31677: Δ=480,1530: Δ=18
05/09/2020,31197: Δ=901,1512: Δ=44
05/08/2020,30296: Δ=869,1468: Δ=50
05/07/2020,29427: Δ=783,1418: Δ=51
05/06/2020,28644: Δ=829,1367: Δ=54
05/05/2020,27815: Δ=1598,1313: Δ=57
05/04/2020,26217: Δ=555,1256: Δ=27
05/03/2020,25662: Δ=768,1229: Δ=20
05/02/2020,24894: Δ=679,1209: Δ=37
05/01/2020,24215: Δ=1033,1172: Δ=61
04/30/2020,23182: Δ=697,1111: Δ=55
04/29/2020,22485: Δ=1509,1056: Δ=56
04/28/2020,20976: Δ=559,1000: Δ=58
04/27/2020,20417: Δ=889,942: Δ=29
04/26/2020,19528: Δ=421,913: Δ=18
04/25/2020,19107: Δ=562,895: Δ=45
04/24/2020,18545: Δ=1037,850: Δ=53
04/23/2020,17508: Δ=1073,797: Δ=68
04/22/2020,16435: Δ=1295,729: Δ=66
04/21/2020,15140: Δ=1324,663: Δ=46
04/20/2020,13816: Δ=1475,617: Δ=17
04/19/2020,12341: Δ=320,600: Δ=24
04/18/2020,12021: Δ=630,576: Δ=81
04/17/2020,11391: Δ=537,495: Δ=40
04/16/2020,10854: Δ=358,455: Δ=53
04/15/2020,10496: Δ=449,402: Δ=42
04/14/2020,10047: Δ=627,360: Δ=40
04/13/2020,9420: Δ=228,320: Δ=24
04/12/2020,9192: Δ=319,296: Δ=31
04/11/2020,8873: Δ=443,265: Δ=24
04/10/2020,8430: Δ=475,241: Δ=18
04/09/2020,7955: Δ=425,223: Δ=25
04/08/2020,7530: Δ=620,198: Δ=29
04/07/2020,6910: Δ=550,169: Δ=22
04/06/2020,6360: Δ=420,147: Δ=15
04/05/2020,5940: Δ=663,132: Δ=15
04/04/2020,5277: Δ=711,117: Δ=28
04/03/2020,4566: Δ=521,89: Δ=11
04/02/2020,4045: Δ=527,78: Δ=13
04/01/2020,3518: Δ=507,65: Δ=11
03/31/2020,3011: Δ=537,54: Δ=10
03/30/2020,2474: Δ=338,44: Δ=7
03/29/2020,2136: Δ=332,37: Δ=4
03/28/2020,1804: Δ=339,33: Δ=6
03/27/2020,1465: Δ=249,27: Δ=6
03/26/2020,1216: Δ=417,21: Δ=8
03/25/2020,799: Δ=137,13: Δ=2
03/24/2020,662: Δ=126,11: Δ=4
03/23/2020,536: Δ=115,7: Δ=2
03/22/2020,421: Δ=70,5: Δ=1
03/21/2020,351: Δ=59,4: Δ=2
03/20/2020,292: Δ=61,2: Δ=0
03/19/2020,231: Δ=41,2: Δ=1
03/18/2020,190: Δ=46,1: Δ=0
03/17/2020,144: Δ=50,1: Δ=0
03/16/2020,94: Δ=25,1: Δ=0
03/15/2020,69: Δ=16,1: Δ=0
03/14/2020,53: Δ=13,1: Δ=0
03/13/2020,40: Δ=8,1: Δ=0
03/12/2020,32: Δ=4,1: Δ=0
03/11/2020,28: Δ=8,1: Δ=1
03/10/2020,20: Δ=1,0: Δ=0
03/09/2020,19: Δ=5,0: Δ=0
03/08/2020,14: Δ=0,0: Δ=0
03/07/2020,14: Δ=1,0: Δ=0
03/06/2020,13: Δ=2,0: Δ=0
03/05/2020,11: Δ=4,0: Δ=0
03/04/2020,7: Δ=6,0: Δ=0
03/03/2020,1: Δ=0,0: Δ=0
03/02/2020,1: Δ=0,0: Δ=0
03/01/2020,1: Δ=0,0: Δ=0
02/29/2020,1: Δ=0,0: Δ=0
02/28/2020,1: Δ=0,0: Δ=0
02/27/2020,1: Δ=0,0: Δ=0
02/26/2020,1: Δ=0,0: Δ=0
02/25/2020,1: Δ=0,0: Δ=0
02/24/2020,1: Δ=0,0: Δ=0
02/23/2020,1: Δ=0,0: Δ=0
02/22/2020,1: Δ=0,0: Δ=0
02/21/2020,1: Δ=0,0: Δ=0
02/20/2020,1: Δ=0,0: Δ=0
02/19/2020,1: Δ=0,0: Δ=0
02/18/2020,1: Δ=0,0: Δ=0
02/17/2020,1: Δ=0,0: Δ=0
02/16/2020,1: Δ=0,0: Δ=0
02/15/2020,1: Δ=0,0: Δ=0
02/14/2020,1: Δ=0,0: Δ=0
02/13/2020,1: Δ=0,0: Δ=0
02/12/2020,1: Δ=0,0: Δ=0
02/11/2020,1: Δ=0,0: Δ=0
02/10/2020,1: Δ=0,0: Δ=0
02/09/2020,1: Δ=0,0: Δ=0
02/08/2020,1: Δ=0,0: Δ=0
02/07/2020,1: Δ=0,0: Δ=0
02/06/2020,1: Δ=0,0: Δ=0
02/05/2020,1: Δ=0,0: Δ=0
02/04/2020,1: Δ=0,0: Δ=0
02/03/2020,1: Δ=0,0: Δ=0
02/02/2020,1: Δ=0,0: Δ=0
02/01/2020,1: Δ=0,0: Δ=0
01/31/2020,1: Δ=0,0: Δ=0
01/30/2020,1: Δ=0,0: Δ=0
01/29/2020,1: Δ=0,0: Δ=0
01/28/2020,1: Δ=0,0: Δ=0
01/27/2020,1: Δ=0,0: Δ=0
01/26/2020,1 Δ=1,0 Δ=0
